batting_average,batting_strike_rate,ducks,fifties,highest_score,hundreds,innings_batted,last_played_year,matches_played,not_outs,player,playing_span,runs,start_year,team_name
0.0,62.5,0,0,5,0,1,2011,5,1,M Muralidaran,,5,2011,Kochi Tuskers Kerala
9.0,120.0,0,0,15,0,3,2023,6,1,Arshad Khan,,18,2023,Mumbai Indians
4.0,85.71,1,0,6,0,5,2022,8,2,M Ashwin,,12,2022,Mumbai Indians
6.0,85.71,0,0,6,0,1,2015,1,0,Azhar Mahmood,,6,2015,Kolkata Knight Riders
13.0,108.33,1,0,9,0,5,2013,35,4,L Balaji,,13,2011,Kolkata Knight Riders
26.54,141.0,4,9,106,1,59,2022,60,2,MA Agarwal,,1513,2018,Kings XI Punjab
6.0,50.0,0,0,6,0,3,2021,4,2,FA Allen,,6,2021,Kings XI Punjab
0.0,0.0,0,0,,0,0,2024,1,0,Kartik Tyagi,,0,2024,Gujarat Titans
0.0,0.0,0,0,,0,0,2024,11,0,JB Little,,0,2023,Gujarat Titans
32.57,135.71,1,4,67,0,14,2013,14,0,AJ Finch,,456,2013,Pune Warriors
18.7,96.36,1,0,45,0,18,2012,19,1,SC Ganguly,,318,2011,Pune Warriors
12.37,120.73,1,0,22,0,13,2016,15,5,DJ Bravo,,99,2016,Gujarat Lions
12.0,171.42,0,0,19,0,2,2016,4,0,ER Dwivedi,,24,2016,Gujarat Lions
13.0,108.33,0,0,22,0,2,2010,5,0,JM Kemp,,26,2010,Chennai Super Kings
0.0,0.0,0,0,,0,0,2019,2,0,SC Kuggeleijn,,0,2019,Chennai Super Kings
0.0,0.0,0,0,0,0,1,2016,4,1,I Sharma,,0,2016,Rising Pune Supergiants
0.0,0.0,0,0,,0,0,2016,4,0,RP Singh,,0,2016,Rising Pune Supergiants
5.42,71.69,2,0,13,0,7,2024,7,0,D Padikkal,,38,2024,Lucknow Super Giants
14.66,110.0,0,0,38,0,6,2022,6,0,MK Pandey,,88,2022,Lucknow Super Giants
21.11,123.37,3,0,100,1,11,2023,11,2,HC Brook,,190,2023,Sunrisers Hyderabad
22.66,143.15,0,0,35,0,10,2024,16,4,PJ Cummins,,136,2024,Sunrisers Hyderabad
21.2,119.54,3,1,66,0,20,2024,22,5,Anuj Rawat,,318,2022,Royal Challengers Bangalore
2.0,50.0,0,0,1,0,3,2012,14,2,KP Appanna,,2,2009,Royal Challengers Bangalore
0.0,0.0,0,0,,0,0,2013,1,0,S Badree,,0,2013,Rajasthan Royals
11.16,124.07,1,0,23,0,8,2015,14,2,R Bhatia,,67,2014,Rajasthan Royals
4.0,114.28,1,0,8,0,2,2022,2,0,KS Bharat,,8,2022,Delhi Daredevils
6.6,104.76,2,0,21,0,11,2010,22,1,R Bhatia,,66,2008,Delhi Daredevils
37.26,129.37,0,7,95,0,29,2012,29,3,S Dhawan,,969,2011,Deccan Chargers
34.53,123.35,0,3,74,0,19,2012,19,6,JP Duminy,,449,2011,Deccan Chargers
0.0,100.0,0,0,1,0,1,2011,5,1,P Parameswaran,,1,2011,Kochi Tuskers Kerala
0.0,0.0,0,0,,0,0,2022,5,0,Basil Thampi,,0,2022,Mumbai Indians
0.0,66.66,0,0,3,0,2,2023,17,2,JP Behrendorff,,6,2019,Mumbai Indians
2.0,22.22,0,0,2,0,1,2009,1,0,SB Bangar,,2,2009,Kolkata Knight Riders
9.0,90.0,0,0,10,0,2,2020,2,0,T Banton,,18,2020,Kolkata Knight Riders
44.38,141.76,2,3,104,2,16,2017,16,3,HM Amla,,577,2016,Kings XI Punjab
8.25,76.74,2,0,15,0,7,2017,17,3,Anureet Singh,,33,2015,Kings XI Punjab
16.5,132.75,1,0,43,0,15,2024,19,1,A Manohar,,231,2022,Gujarat Titans
45.23,145.25,1,3,94,0,38,2024,41,17,DA Miller,,950,2022,Gujarat Titans
0.0,400.0,0,0,4,0,1,2013,2,1,RV Gomez,,4,2013,Pune Warriors
10.0,76.92,0,0,13,0,3,2012,3,1,Harpreet Singh,,20,2011,Pune Warriors
18.71,112.93,0,0,32,0,11,2017,15,4,JP Faulkner,,131,2016,Gujarat Lions
31.45,144.46,3,7,74,0,25,2017,26,3,AJ Finch,,692,2016,Gujarat Lions
0.0,166.66,0,0,5,0,1,2012,6,1,KMDN Kulasekara,,5,2011,Chennai Super Kings
4.0,44.44,1,0,4,0,2,2013,2,1,B Laughlin,,4,2013,Chennai Super Kings
41.22,131.79,0,3,101,1,22,2017,23,4,SPD Smith,,742,2016,Rising Pune Supergiants
31.6,142.98,0,1,103,1,11,2017,12,1,BA Stokes,,316,2017,Rising Pune Supergiants
21.91,121.44,4,0,49,0,39,2024,43,16,KH Pandya,,504,2022,Lucknow Super Giants
42.85,175.97,3,5,75,0,29,2024,29,9,N Pooran,,857,2023,Lucknow Super Giants
29.0,193.33,1,0,39,0,7,2017,8,3,BCJ Cutting,,116,2016,Sunrisers Hyderabad
