Ground,Match_Date,Result_Margin,Season,Team_1,Team_2,Winner,result_margin_type,result_margin_value
Centurion,"May 21, 2009",12 runs,2009,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,runs,12
Centurion,"May 21, 2009",4 wickets,2009,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,wickets,4
Durban,"May 20, 2009",24 runs,2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,runs,24
Durban,"May 20, 2009",4 wickets,2009,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,wickets,4
Johannesburg,"May 19, 2009",7 wickets,2009,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,wickets,7
Centurion,"May 18, 2009",7 wickets,2009,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,wickets,7
Bloemfontein,"May 17, 2009",14 runs,2009,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,runs,14
Johannesburg,"May 17, 2009",1 run,2009,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,run,1
Johannesburg,"May 16, 2009",6 wickets,2009,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,wickets,6
Gqeberha,"May 16, 2009",7 wickets,2009,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,wickets,7
Bloemfontein,"May 15, 2009",6 wickets,2009,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,wickets,6
Durban,"May 14, 2009",2 runs,2009,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,runs,2
Durban,"May 14, 2009",2 wickets,2009,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,wickets,2
Durban,"May 13, 2009",12 runs,2009,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,runs,12
Centurion,"May 12, 2009",8 wickets,2009,Kings XI Punjab,Mumbai Indians,Mumbai Indians,wickets,8
Centurion,"May 12, 2009",6 wickets,2009,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,wickets,6
Kimberley,"May 11, 2009",53 runs,2009,Deccan Chargers,Rajasthan Royals,Deccan Chargers,runs,53
Johannesburg,"May 10, 2009",7 wickets,2009,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,wickets,7
Gqeberha,"May 10, 2009",16 runs,2009,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,runs,16
Kimberley,"May 9, 2009",7 wickets,2009,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,wickets,7
Kimberley,"May 9, 2009",3 wickets,2009,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,wickets,3
East London,"May 8, 2009",7 wickets,2009,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,wickets,7
Centurion,"May 7, 2009",12 runs,2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,runs,12
Centurion,"May 7, 2009",7 wickets,2009,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,wickets,7
Centurion,"May 6, 2009",19 runs,2009,Deccan Chargers,Mumbai Indians,Deccan Chargers,runs,19
Durban,"May 5, 2009",9 wickets,2009,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,wickets,9
Durban,"May 5, 2009",78 runs,2009,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,runs,78
East London,"May 4, 2009",78 runs,2009,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,runs,78
Johannesburg,"May 3, 2009",9 wickets,2009,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,wickets,9
Gqeberha,"May 3, 2009",6 wickets,2009,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,wickets,6
Johannesburg,"May 2, 2009",18 runs,2009,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,runs,18
Gqeberha,"May 2, 2009",3 wickets,2009,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,wickets,3
Durban,"May 1, 2009",8 runs,2009,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,runs,8
East London,"May 1, 2009",9 runs,2009,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,runs,9
Centurion,"Apr 30, 2009",38 runs,2009,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,runs,38
Centurion,"Apr 30, 2009",6 wickets,2009,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,wickets,6
Durban,"Apr 29, 2009",3 runs,2009,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,runs,3
Durban,"Apr 29, 2009",5 wickets,2009,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,wickets,5
Centurion,"Apr 28, 2009",5 wickets,2009,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,wickets,5
Gqeberha,"Apr 27, 2009",92 runs,2009,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,runs,92
Durban,"Apr 27, 2009",6 wickets,2009,Chennai Super Kings,Deccan Chargers,Deccan Chargers,wickets,6
Cape Town,"Apr 26, 2009",27 runs,2009,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,runs,27
Gqeberha,"Apr 26, 2009",6 wickets,2009,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,wickets,6
Durban,"Apr 25, 2009",12 runs,2009,Deccan Chargers,Mumbai Indians,Deccan Chargers,runs,12
Durban,"Apr 24, 2009",7 wickets,2009,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,wickets,7
Durban,"Apr 23, 2009",9 runs,2009,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,runs,9
Cape Town,"Apr 22, 2009",24 runs,2009,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,runs,24
Durban,"Apr 21, 2009",11 runs,2009,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,runs,11
Gqeberha,"Apr 20, 2009",92 runs,2009,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,runs,92
Cape Town,"Apr 19, 2009",8 wickets,2009,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,wickets,8
Cape Town,"Apr 19, 2009",10 wickets,2009,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,wickets,10
Cape Town,"Apr 18, 2009",75 runs,2009,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,runs,75
Cape Town,"Apr 18, 2009",19 runs,2009,Chennai Super Kings,Mumbai Indians,Mumbai Indians,runs,19
DY Patil,"Jun 1, 2008",3 wickets,2008,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,wickets,3
Wankhede,"May 31, 2008",9 wickets,2008,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,wickets,9
Wankhede,"May 30, 2008",105 runs,2008,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,runs,105
Mohali,"May 28, 2008",41 runs,2008,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,runs,41
Bengaluru,"May 28, 2008",9 wickets,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,wickets,9
Hyderabad,"May 27, 2008",7 wickets,2008,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,wickets,7
Jaipur,"May 26, 2008",5 wickets,2008,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,wickets,5
Eden Gardens,"May 25, 2008",3 wickets,2008,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,wickets,3
Hyderabad,"May 25, 2008",5 wickets,2008,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,5
Delhi,"May 24, 2008",5 wickets,2008,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,wickets,5
Chennai,"May 24, 2008",10 runs,2008,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,runs,10
Mohali,"May 23, 2008",6 wickets,2008,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,wickets,6
Chennai,"May 21, 2008",14 runs,2008,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,14
Wankhede,"May 21, 2008",1 run,2008,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,run,1
Eden Gardens,"May 20, 2008",6 wickets,2008,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,wickets,6
Bengaluru,"May 19, 2008",5 wickets,2008,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,wickets,5
Hyderabad,"May 18, 2008",25 runs,2008,Deccan Chargers,Mumbai Indians,Mumbai Indians,runs,25
Eden Gardens,"May 18, 2008",3 runs,2008,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,runs,3
Delhi,"May 17, 2008",6 runs,2008,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,runs,6
Jaipur,"May 17, 2008",65 runs,2008,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,runs,65
Wankhede,"May 16, 2008",8 wickets,2008,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,wickets,8
Delhi,"May 15, 2008",12 runs,2008,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,runs,12
Wankhede,"May 14, 2008",9 wickets,2008,Mumbai Indians,Chennai Super Kings,Mumbai Indians,wickets,9
Eden Gardens,"May 13, 2008",23 runs,2008,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,runs,23
Mohali,"May 12, 2008",9 wickets,2008,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,wickets,9
Jaipur,"May 11, 2008",3 wickets,2008,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,wickets,3
Hyderabad,"May 11, 2008",23 runs,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,runs,23
Chennai,"May 10, 2008",18 runs,2008,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,runs,18
Jaipur,"May 9, 2008",8 wickets,2008,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,wickets,8
Eden Gardens,"May 8, 2008",5 runs,2008,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,runs,5
Delhi,"May 8, 2008",4 wickets,2008,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,wickets,4
DY Patil,"May 7, 2008",7 wickets,2008,Mumbai Indians,Rajasthan Royals,Mumbai Indians,wickets,7
Chennai,"May 6, 2008",7 wickets,2008,Chennai Super Kings,Deccan Chargers,Deccan Chargers,wickets,7
Bengaluru,"May 5, 2008",6 wickets,2008,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,wickets,6
Jaipur,"May 4, 2008",8 wickets,2008,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,wickets,8
DY Patil,"May 4, 2008",29 runs,2008,Mumbai Indians,Delhi Daredevils,Mumbai Indians,runs,29
Mohali,"May 3, 2008",9 runs,2008,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,runs,9
Bengaluru,"May 3, 2008",3 runs,2008,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,runs,3
Chennai,"May 2, 2008",8 wickets,2008,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,wickets,8
Hyderabad,"May 1, 2008",7 wickets,2008,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,wickets,7
Jaipur,"May 1, 2008",45 runs,2008,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,runs,45
Delhi,"Apr 30, 2008",10 runs,2008,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,runs,10
Eden Gardens,"Apr 29, 2008",7 wickets,2008,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,wickets,7
Bengaluru,"Apr 28, 2008",13 runs,2008,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,runs,13
DY Patil,"Apr 27, 2008",10 wickets,2008,Mumbai Indians,Deccan Chargers,Deccan Chargers,wickets,10
Mohali,"Apr 27, 2008",4 wickets,2008,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,wickets,4
Bengaluru,"Apr 26, 2008",7 wickets,2008,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,wickets,7
Chennai,"Apr 26, 2008",9 wickets,2008,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,wickets,9
Mohali,"Apr 25, 2008",66 runs,2008,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,runs,66
Hyderabad,"Apr 24, 2008",3 wickets,2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,wickets,3
Chennai,"Apr 23, 2008",6 runs,2008,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,runs,6
Hyderabad,"Apr 22, 2008",9 wickets,2008,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,wickets,9
Jaipur,"Apr 21, 2008",6 wickets,2008,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,wickets,6
Wankhede,"Apr 20, 2008",5 wickets,2008,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,5
Eden Gardens,"Apr 20, 2008",5 wickets,2008,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,wickets,5
Delhi,"Apr 19, 2008",9 wickets,2008,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,wickets,9
Mohali,"Apr 19, 2008",33 runs,2008,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,runs,33
Bengaluru,"Apr 18, 2008",140 runs,2008,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,runs,140
