Ground,Match_Date,Result_Margin,Season,Team_1,Team_2,Winner,result_margin_type,result_margin_value
Wankhede,"May 10, 2014",4 wickets,2014,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,wickets,4
Delhi,"May 10, 2014",8 wickets,2014,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,8
Bengaluru,"May 9, 2014",32 runs,2014,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,runs,32
Ahmedabad,"May 8, 2014",32 runs,2014,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,32
Cuttack,"May 7, 2014",44 runs,2014,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,runs,44
Delhi,"May 7, 2014",8 wickets,2014,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,wickets,8
Wankhede,"May 6, 2014",19 runs,2014,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,runs,19
Delhi,"May 5, 2014",8 wickets,2014,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,wickets,8
Ahmedabad,"May 5, 2014",10 runs,2014,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,runs,10
Bengaluru,"May 4, 2014",4 wickets,2014,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,wickets,4
Delhi,"May 3, 2014",7 wickets,2014,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,wickets,7
Wankhede,"May 3, 2014",5 wickets,2014,Mumbai Indians,Kings XI Punjab,Mumbai Indians,wickets,5
Ranchi,"May 2, 2014",34 runs,2014,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,runs,34
Dubai (DICS),"Apr 30, 2014",15 runs,2014,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,15
Dubai (DICS),"Apr 28, 2014",5 wickets,2014,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,wickets,5
Sharjah,"Apr 27, 2014",5 wickets,2014,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,wickets,5
Sharjah,"Apr 27, 2014",6 wickets,2014,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,wickets,6
Abu Dhabi,"Apr 26, 2014",23 runs,2014,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,runs,23
Abu Dhabi,"Apr 26, 2014",6 wickets,2014,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,wickets,6
Dubai (DICS),"Apr 25, 2014",7 wickets,2014,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,wickets,7
Dubai (DICS),"Apr 25, 2014",4 runs,2014,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,runs,4
Sharjah,"Apr 24, 2014",2 runs,2014,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,runs,2
Dubai (DICS),"Apr 23, 2014",7 runs,2014,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,runs,7
Sharjah,"Apr 22, 2014",72 runs,2014,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,runs,72
Abu Dhabi,"Apr 21, 2014",93 runs,2014,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,runs,93
Sharjah,"Apr 20, 2014",7 wickets,2014,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,wickets,7
Dubai (DICS),"Apr 19, 2014",4 wickets,2014,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,wickets,4
Dubai (DICS),"Apr 19, 2014",7 wickets,2014,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,wickets,7
Abu Dhabi,"Apr 18, 2014",4 wickets,2014,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,wickets,4
Abu Dhabi,"Apr 18, 2014",6 wickets,2014,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,wickets,6
Sharjah,"Apr 17, 2014",8 wickets,2014,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,8
Abu Dhabi,"Apr 16, 2014",41 runs,2014,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,runs,41
Eden Gardens,"May 26, 2013",23 runs,2013,Chennai Super Kings,Mumbai Indians,Mumbai Indians,runs,23
Eden Gardens,"May 24, 2013",4 wickets,2013,Mumbai Indians,Rajasthan Royals,Mumbai Indians,wickets,4
Delhi,"May 22, 2013",4 wickets,2013,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,wickets,4
Delhi,"May 21, 2013",48 runs,2013,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,runs,48
Hyderabad,"May 19, 2013",5 wickets,2013,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,wickets,5
Pune,"May 19, 2013",38 runs,2013,Pune Warriors India,Delhi Daredevils,Pune Warriors India,runs,38
Bengaluru,"May 18, 2013",24 runs,2013,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,runs,24
Dharamsala,"May 18, 2013",50 runs,2013,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,runs,50
Hyderabad,"May 17, 2013",23 runs,2013,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,runs,23
Dharamsala,"May 16, 2013",7 runs,2013,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,runs,7
Wankhede,"May 15, 2013",14 runs,2013,Mumbai Indians,Rajasthan Royals,Mumbai Indians,runs,14
Ranchi,"May 15, 2013",7 runs,2013,Kolkata Knight Riders,Pune Warriors India,Pune Warriors India,runs,7
Chennai,"May 14, 2013",33 runs,2013,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,runs,33
Bengaluru,"May 14, 2013",7 wickets,2013,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,wickets,7
Wankhede,"May 13, 2013",7 wickets,2013,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,wickets,7
Jaipur,"May 12, 2013",5 wickets,2013,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,wickets,5
Ranchi,"May 12, 2013",5 wickets,2013,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,wickets,5
Mohali,"May 11, 2013",30 runs,2013,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,30
Pune,"May 11, 2013",5 wickets,2013,Pune Warriors India,Mumbai Indians,Mumbai Indians,wickets,5
Delhi,"May 10, 2013",4 runs,2013,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,4
Pune,"May 9, 2013",46 runs,2013,Pune Warriors India,Kolkata Knight Riders,Kolkata Knight Riders,runs,46
Mohali,"May 9, 2013",8 wickets,2013,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,wickets,8
Hyderabad,"May 8, 2013",77 runs,2013,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,runs,77
Wankhede,"May 7, 2013",65 runs,2013,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,runs,65
Jaipur,"May 7, 2013",9 wickets,2013,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,wickets,9
Mohali,"May 6, 2013",6 wickets,2013,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,wickets,6
Jaipur,"May 5, 2013",5 wickets,2013,Rajasthan Royals,Pune Warriors India,Rajasthan Royals,wickets,5
Wankhede,"May 5, 2013",60 runs,2013,Mumbai Indians,Chennai Super Kings,Mumbai Indians,runs,60
Hyderabad,"May 4, 2013",6 wickets,2013,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,wickets,6
Eden Gardens,"May 3, 2013",8 wickets,2013,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,wickets,8
Pune,"May 2, 2013",17 runs,2013,Pune Warriors India,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,17
Chennai,"May 2, 2013",15 runs,2013,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,runs,15
Raipur,"May 1, 2013",7 wickets,2013,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,wickets,7
Hyderabad,"May 1, 2013",7 wickets,2013,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,wickets,7
Pune,"Apr 30, 2013",37 runs,2013,Pune Warriors India,Chennai Super Kings,Chennai Super Kings,runs,37
Wankhede,"Apr 29, 2013",4 runs,2013,Mumbai Indians,Kings XI Punjab,Mumbai Indians,runs,4
Jaipur,"Apr 29, 2013",4 wickets,2013,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,wickets,4
Raipur,"Apr 28, 2013",15 runs,2013,Delhi Daredevils,Pune Warriors India,Delhi Daredevils,runs,15
Chennai,"Apr 28, 2013",14 runs,2013,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,runs,14
Wankhede,"Apr 27, 2013",58 runs,2013,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,runs,58
