balls,best_innings_bowled,best_innings_bowled_runs,best_innings_bowled_wickets,bowling_average,bowling_stike_rate,catches_taken,economy_rate,innings_bowled,last_played_year,maidens_earned,matches_played,player,playing_span,runs_conceded,start_year,team_name,wickets
66,,22,1,90.0,66.0,2,8.18,3,2021,1,4,FA Allen,,90,2021,Kings XI Punjab,1
270,,4,2,35.36,24.5,16,8.64,26,2024,0,60,Abhishek Sharma,,389,2019,Sunrisers Hyderabad,11
101,,27,3,26.5,16.8,2,9.44,6,2012,0,6,Anand Rajan,,159,2011,Deccan Chargers,6
30,,45,2,26.0,15.0,0,10.4,2,2022,0,2,VR Aaron,,52,2022,Gujarat Titans,2
12,,,,0.0,,0,10.5,1,2016,0,1,S Ladda,,21,2016,Gujarat Lions,0
0,,,,0.0,,8,,0,2023,0,23,DP Conway,,0,2022,Chennai Super Kings,0
486,,16,4,25.51,18.0,2,8.5,23,2024,2,24,Mohsin Khan,,689,2022,Lucknow Super Giants,27
387,,38,4,23.64,15.4,6,9.16,17,2024,0,18,Naveen-ul-Haq,,591,2023,Lucknow Super Giants,25
164,,45,3,45.57,23.4,3,11.67,8,2024,1,8,Akash Deep,,319,2022,Royal Challengers Bangalore,7
176,,17,2,36.66,29.3,3,7.5,12,2010,0,14,B Akhil,,220,2008,Royal Challengers Bangalore,6
825,,15,3,21.32,17.9,9,7.13,35,2020,2,35,JC Archer,,981,2018,Rajasthan Royals,46
24,,,,0.0,,0,13.25,2,2023,0,2,M Ashwin,,53,2023,Rajasthan Royals,0
0,,,,0.0,,0,,0,2009,0,1,SB Bangar,,0,2009,Kolkata Knight Riders,0
0,,,,0.0,,0,,0,2020,0,2,T Banton,,0,2020,Kolkata Knight Riders,0
0,,,,0.0,,0,,0,2017,0,16,HM Amla,,0,2016,Kings XI Punjab,0
0,,,,0.0,,8,,0,2024,0,14,MA Agarwal,,0,2023,Sunrisers Hyderabad,0
543,,21,3,24.56,16.9,1,8.68,24,2021,0,24,KK Ahmed,,786,2018,Sunrisers Hyderabad,32
0,,,,0.0,,3,,0,2010,0,5,Anirudh Singh,,0,2010,Deccan Chargers,0
145,,9,1,41.25,36.2,0,6.82,9,2012,0,9,Ankit Sharma,,165,2012,Deccan Chargers,4
126,,27,2,46.5,31.5,0,8.85,7,2024,0,7,Azmatullah Omarzai,,186,2024,Gujarat Titans,4
286,,28,4,35.58,23.8,2,8.95,13,2022,0,13,LH Ferguson,,427,2022,Gujarat Titans,12
0,,,,0.0,,0,,0,2017,0,5,AD Nath,,0,2016,Gujarat Lions,0
90,,44,2,35.75,22.5,0,9.53,5,2010,0,5,S Ladda,,143,2010,Delhi Daredevils,4
450,,19,3,30.54,20.4,8,8.96,22,2021,0,23,SM Curran,,672,2020,Chennai Super Kings,22
0,,,,0.0,,3,,0,2024,0,7,D Padikkal,,0,2024,Lucknow Super Giants,0
259,,18,2,30.8,25.9,4,7.13,17,2020,0,19,MM Ali,,308,2018,Royal Challengers Bangalore,10
52,,47,2,38.33,17.3,0,13.26,3,2018,0,3,CJ Anderson,,115,2018,Royal Challengers Bangalore,3
1026,,17,3,38.22,29.3,11,7.82,44,2024,0,45,R Ashwin,,1338,2022,Rajasthan Royals,35
84,,42,2,46.0,28.0,1,9.85,4,2023,0,4,KM Asif,,138,2023,Rajasthan Royals,3
774,,22,3,29.09,24.1,10,7.21,43,2013,0,46,R Bhatia,,931,2011,Kolkata Knight Riders,32
358,,23,3,35.6,23.8,4,8.94,17,2017,0,17,Anureet Singh,,534,2015,Kings XI Punjab,15
107,,21,2,54.66,35.6,1,9.19,5,2022,0,5,VG Arora,,164,2022,Kings XI Punjab,3
48,,20,1,21.0,24.0,1,5.25,2,2013,0,2,Anand Rajan,,42,2013,Sunrisers Hyderabad,2
163,,25,3,21.54,14.8,0,8.72,9,2012,0,9,A Ashish Reddy,,237,2012,Deccan Chargers,11
96,,25,2,37.75,24.0,2,9.43,5,2024,0,5,SH Johnson,,151,2024,Gujarat Titans,4
324,,27,2,34.92,23.1,3,9.05,16,2023,0,16,AS Joseph,,489,2022,Gujarat Titans,14
24,,42,1,42.0,24.0,1,10.5,1,2017,0,1,SS Agarwal,,42,2017,Gujarat Lions,1
0,,,,0.0,,0,,0,2017,0,1,AR Bawne,,0,2017,Delhi Daredevils,0
0,,,,0.0,,1,,0,2017,0,3,MA Agarwal,,0,2017,Rising Pune Supergiants,0
186,,13,2,32.12,23.2,2,8.29,10,2013,1,10,AN Ahmed,,257,2010,Mumbai Indians,8
0,,,,0.0,,1,,0,2013,0,2,UA Birla,,0,2013,Pune Warriors,0
671,,27,4,26.94,17.2,5,9.39,31,2024,0,31,TU Deshpande,,1051,2022,Chennai Super Kings,39
0,,,,0.0,,3,,0,2022,0,6,MK Pandey,,0,2022,Lucknow Super Giants,0
678,,11,3,33.32,27.1,18,7.37,36,2024,1,43,KH Pandya,,833,2022,Lucknow Super Giants,25
0,,,,0.0,,13,,0,2024,0,22,Anuj Rawat,,0,2022,Royal Challengers Bangalore,0
216,,19,4,31.77,24.0,1,7.94,13,2012,0,14,KP Appanna,,286,2009,Royal Challengers Bangalore,9
0,,,,0.0,,6,,0,2011,0,20,SA Asnodkar,,0,2008,Rajasthan Royals,0
329,,27,3,27.68,17.3,2,9.59,15,2024,0,16,Avesh Khan,,526,2024,Rajasthan Royals,19
0,,,,0.0,,6,,0,2022,0,8,SW Billings,,0,2022,Kolkata Knight Riders,0
0,,,,0.0,,15,,0,2014,0,27,MS Bisla,,0,2011,Kolkata Knight Riders,0
1364,,32,5,27.0,17.9,12,9.02,65,2024,1,65,Arshdeep Singh,,2052,2019,Kings XI Punjab,76
0,,,,0.0,,0,,0,2014,0,1,S Anirudha,,0,2014,Sunrisers Hyderabad,0
12,,,,0.0,,1,8.5,1,2013,0,1,Ankit Sharma,,17,2013,Sunrisers Hyderabad,0
150,,34,2,54.75,37.5,2,8.76,9,2008,0,11,SB Bangar,,219,2008,Deccan Chargers,4
0,,,,0.0,,1,,0,2010,0,7,AA Bilakhia,,0,2009,Deccan Chargers,0
24,,,,0.0,,0,12.75,1,2024,0,1,Kartik Tyagi,,51,2024,Gujarat Titans,0
109,,16,1,72.0,54.5,1,7.92,6,2017,0,7,Ankit Soni,,144,2017,Gujarat Lions,2
258,,19,2,35.3,25.8,1,8.2,11,2012,0,12,VR Aaron,,353,2011,Delhi Daredevils,10
0,,,,0.0,,1,,0,2018,0,3,Abhishek Sharma,,0,2018,Delhi Daredevils,0
72,,27,1,100.0,72.0,1,8.33,4,2017,0,4,Ankit Sharma,,100,2016,Rising Pune Supergiants,1
24,,46,1,46.0,24.0,0,11.5,1,2022,0,1,FA Allen,,46,2022,Mumbai Indians,1
66,,12,1,33.5,33.0,1,6.09,5,2012,0,6,MJ Clarke,,67,2012,Pune Warriors,2
438,,18,4,25.36,17.5,4,8.68,20,2013,1,20,AB Dinda,,634,2012,Pune Warriors,25
0,,,,0.0,,134,,0,2024,0,234,MS Dhoni,,0,2008,Chennai Super Kings,0
0,,,,0.0,,13,,0,2024,0,29,N Pooran,,0,2023,Lucknow Super Giants,0
760,,14,4,23.08,16.8,8,8.2,38,2017,0,38,S Aravind,,1039,2011,Royal Challengers Bangalore,45
0,,,,0.0,,11,,0,2013,0,16,KB Arun Karthik,,0,2011,Royal Challengers Bangalore,0
24,,,,0.0,,0,8.5,1,2013,0,1,S Badree,,34,2013,Rajasthan Royals,0
258,,23,3,27.41,21.5,5,7.65,14,2015,0,14,R Bhatia,,329,2014,Rajasthan Royals,12
186,,24,2,24.88,20.6,1,7.22,8,2010,1,8,SE Bond,,224,2010,Kolkata Knight Riders,9
60,,32,1,81.0,60.0,4,8.1,4,2015,0,4,J Botha,,81,2015,Kolkata Knight Riders,1
459,,21,3,36.68,28.6,7,7.67,22,2021,0,22,M Ashwin,,587,2019,Kings XI Punjab,16
634,,23,3,32.4,25.3,9,7.66,28,2019,0,28,R Ashwin,,810,2018,Kings XI Punjab,25
0,,,,0.0,,1,,0,2024,0,6,Anmolpreet Singh,,0,2023,Sunrisers Hyderabad,0
